Date,Quarters,VOO,VGT,VXUS,GDP,Unemployment,President
6/1/20,34,19.37,29.28,16.62,-31.4,-32.23,Donald Trump
3/1/20,33,-20.5,-13.27,-25.39,-5,240,Donald Trump
12/1/19,32,8.77,13.43,8.22,2.4,8.49,Donald Trump
9/1/19,31,1.84,2.59,-0.89,2.6,-2.75,Donald Trump
6/1/19,30,4.71,6.26,2.25,1.5,0,Donald Trump
3/1/19,29,13.11,19.47,10.9,2.9,-6.03,Donald Trump
12/1/18,28,-13.87,-18.32,-12.38,1.3,1.75,Donald Trump
9/1/18,27,7.39,11.72,1,2.1,0.88,Donald Trump
6/1/18,26,3.51,6.35,-4.1,2.7,-4.24,Donald Trump
3/1/18,25,-0.54,4.36,0.86,3.8,-3.28,Donald Trump
12/1/17,24,6.71,8.62,4.31,3.9,-1.61,Donald Trump
9/1/17,23,4.34,8.05,6.35,2.9,-3.88,Donald Trump
6/1/17,22,3.09,4.21,4.9,1.7,-1.53,Donald Trump
3/1/17,21,5.96,11.6,8.97,2.3,-4.38,Donald Trump
12/1/16,20,3.81,1.28,-2.24,2.5,-4.2,Barack Obama
9/1/16,19,3.91,12.36,7.34,2.2,-2.72,Barack Obama
6/1/16,18,2.47,-1.61,-0.6,1.3,0,Barack Obama
3/1/16,17,1.75,2.02,0.8,2.3,-0.68,Barack Obama
12/1/15,16,7.13,9.61,-0.08,0.6,-1.99,Barack Obama
9/1/15,15,-6.46,-5.83,-8.93,1.5,-1.31,Barack Obama
6/1/15,14,0.37,-0.15,-1.59,2.7,-6.13,Barack Obama
3/1/15,13,1.18,3.46,5.85,3.8,-1.81,Barack Obama
12/1/14,12,4.79,4.47,-3.63,2.3,-2.92,Barack Obama
9/1/14,11,1.19,3.44,-4.98,5,-6.04,Barack Obama
6/1/14,10,5.11,5.7,4.69,5.5,-2.15,Barack Obama
3/1/14,9,1.98,3.4,0.81,-1.1,-7,Barack Obama
12/1/13,8,10.07,10.58,4.89,3.2,-3.85,Barack Obama
9/1/13,7,5.63,8.91,11.08,3.2,-4.15,Barack Obama
6/1/13,6,2.9,1.61,-4.38,0.5,-3.98,Barack Obama
3/1/13,5,10.38,6.62,3.33,3.6,-2.59,Barack Obama
12/1/12,4,-0.59,-5.79,8.04,0.5,-0.85,Barack Obama
9/1/12,3,6.27,6.71,4.61,0.5,-2.9,Barack Obama
6/1/12,2,-2.6,-7.21,-6.94,1.7,-2.03,Barack Obama
3/1/12,1,12.22,20.45,14.77,3.2,-0.81,Barack Obama